figure,panel,sheet,item,value
fig_normative_diversity_r2_max_30_dedup,b2_func_diversity_stats,b2_func_diversity_stats,column: objective,o_min = synergistic (min O-information) arm; o_max = redundant (max O-information) arm
fig_normative_diversity_r2_max_30_dedup,b2_func_diversity_stats,b2_func_diversity_stats,column: arm_label,arm label printed in the panel legend
fig_normative_diversity_r2_max_30_dedup,b2_func_diversity_stats,b2_func_diversity_stats,column: n_candidates,candidates entering the correlation and line fit
fig_normative_diversity_r2_max_30_dedup,b2_func_diversity_stats,b2_func_diversity_stats,column: pearson_r,Pearson correlation coefficient printed in the legend
fig_normative_diversity_r2_max_30_dedup,b2_func_diversity_stats,b2_func_diversity_stats,column: p_value,exact two-sided p-value for the Pearson correlation
fig_normative_diversity_r2_max_30_dedup,b2_func_diversity_stats,b2_func_diversity_stats,column: slope_beta_h,least-squares slope on Shannon domain entropy H (R² per bit)
fig_normative_diversity_r2_max_30_dedup,b2_func_diversity_stats,b2_func_diversity_stats,column: intercept,least-squares intercept
fig_normative_diversity_r2_max_30_dedup,b2_func_diversity_stats,b2_func_diversity_stats,column: stderr,standard error of the slope
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,description,"The model level selected for each BAG, condition and arm, whose candidates the scatter shows."
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,n_rows_plotted,32
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,notes,"Selection is by highest R² across model levels, before the R² plotting filter."
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,column: bag,brain-age-gap modality
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,column: condition,transfer condition
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,column: objective,o_min = synergistic (min O-information) arm; o_max = redundant (max O-information) arm
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,column: best_rung,selected model level
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,column: best_rung_label,that level as printed in the panel annotation
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,column: best_r2,highest held-out LOCO R² at that level
fig_normative_diversity_r2_max_30_dedup,model_level_selection,model_level_selection,column: n_models,candidates carried into the scatter from that level
fig_normative_diversity_r2_max_30_dedup,,,generated_from,/data/workspaces/neuromodelling/rherzog/Brainlat/expo_hoi_bag_repro_data_dedup/work/compatibility_runtime/outputs/variant_a/stats/normative_diversity_r2
fig_normative_diversity_r2_max_30_dedup,,,generated_from,/data/workspaces/neuromodelling/rherzog/Brainlat/expo_hoi_bag_repro_data_dedup/work/compatibility_runtime/data/exposome_feature_domains.csv
